Ceilometer Vaisala CL31. 10 min averages in UNAM
MLH from Gradient method. Espectroscopia y Percepcion Remota, CCA-UNAM
Version: 201801  http://www.atmosfera.unam.mx/espectroscopia/ceilo/
Decimal.hour  MLH(m)
0.000         840 
0.167         920 
0.333         970 
0.500         990 
0.667         1000 
0.833         1010 
1.000         1010 
1.167         1020 
1.333         1030 
1.500         4370 
1.667         4350 
1.833         2340 
2.000         2350 
2.167         2370 
2.333         2490 
2.500         2500 
2.667         2500 
2.833         2290 
3.000         2280 
3.167         2270 
3.333         2260 
3.500         2230 
3.667         1780 
3.833         1790 
4.000         1790 
4.167         1790 
4.333         2050 
4.500         2060 
4.667         2070 
4.833         2050 
5.000         2580 
5.167         2570 
5.333         1950 
5.500         1920 
5.667         1910 
5.833         1910 
6.000         1900 
6.167         1820 
6.333         1740 
6.500         1730 
6.667         1720 
6.833         1710 
7.000         1700 
7.167         1700 
7.333         1700 
7.500         1700 
7.667         1700 
7.833         3570 
8.000         4720 
8.167         3570 
8.333         4210 
8.500         4870 
8.667         4860 
8.833         4850 
9.000         4830 
9.167         4790 
9.333         4450 
9.500         4450 
9.667         4440 
9.833         4800 
10.000         4780 
10.167         4770 
10.333         4750 
10.500         4730 
10.667         4720 
10.833         4710 
11.000         1870 
11.167         1870 
11.333         2710 
11.500         2690 
11.667         2680 
11.833         2680 
12.000         2690 
12.167         2690 
12.333         2400 
12.500         2420 
12.667         3030 
12.833         3030 
13.000         3030 
13.167         2750 
13.333         2340 
13.500         2310 
13.667         2310 
13.833         1870 
14.000         1870 
14.167         1870 
14.333         1880 
14.500         1900 
14.667         2050 
14.833         2000 
15.000         1980 
15.167         1990 
15.333         3410 
15.500         3410 
15.667         3400 
15.833         3380 
16.000         3370 
16.167         3370 
16.333         3370 
16.500         3360 
16.667         3370 
16.833         2880 
17.000         2890 
17.167         2890 
17.333         2890 
17.500         2880 
17.667         2540 
17.833         2560 
18.000         2590 
18.167         2490 
18.333         2450 
18.500         3390 
18.667         3400 
18.833         3400 
19.000         1740 
19.167         1730 
19.333         1720 
19.500         1710 
19.667         1700 
19.833         1690 
20.000         1680 
20.167         2490 
20.333         2500 
20.500         1630 
20.667         1630 
20.833         1630 
21.000         1610 
21.167         1600 
21.333         1590 
21.500         1590 
21.667         1590 
21.833         1590 
22.000         1600 
22.167         2740 
22.333         2740 
22.500         2750 
22.667         2760 
22.833         2040 
23.000         2040 
23.167         2040 
23.333         2030 
23.500         2030 
23.667         2020 
23.833         1460 
