Ceilometer Vaisala CL31. 10 min averages in UNAM
MLH from Gradient method. Espectroscopia y Percepcion Remota, CCA-UNAM
Version: 201801  http://www.atmosfera.unam.mx/espectroscopia/ceilo/
Decimal.hour  MLH(m)
0.000         1780 
0.167         2200 
0.333         2190 
0.500         2200 
0.667         2220 
0.833         2220 
1.000         2360 
1.167         2360 
1.333         1810 
1.500         2260 
1.667         2250 
1.833         2200 
2.000         1460 
2.667         1840 
2.833         1850 
3.000         1840 
3.167         1840 
3.333         2230 
3.500         1820 
3.667         1810 
3.833         2050 
4.000         2080 
4.167         2100 
4.333         2100 
4.500         2080 
4.667         2080 
4.833         1720 
5.000         1750 
5.167         2370 
5.333         2380 
5.500         2420 
5.667         2180 
5.833         2180 
6.000         2170 
6.167         2160 
6.333         2150 
6.500         1900 
6.667         1860 
6.833         1800 
7.000         1770 
7.167         1740 
7.333         2160 
7.500         2160 
7.667         1910 
7.833         1900 
8.000         1890 
8.167         1880 
8.333         1870 
8.500         1690 
8.667         1700 
8.833         1790 
9.000         1810 
9.167         1810 
9.333         1800 
9.500         1800 
9.667         1810 
9.833         1850 
10.000         1420 
10.167         1450 
10.333         1690 
10.500         1700 
10.667         1720 
10.833         1730 
11.000         2230 
11.167         2230 
11.333         2850 
11.500         2710 
11.667         2160 
11.833         2040 
12.000         1980 
12.167         1660 
12.333         400 
12.500         1680 
12.667         1970 
12.833         1980 
13.000         510 
13.167         1540 
13.333         2200 
13.500         1070 
13.667         860 
13.833         700 
14.000         750 
14.167         900 
14.333         970 
14.500         1210 
14.667         1410 
14.833         1950 
15.000         1920 
15.167         1830 
15.333         1470 
15.500         3810 
15.667         1790 
15.833         1280 
16.000         890 
16.167         850 
16.333         1020 
16.500         1390 
16.667         1610 
16.833         1640 
17.000         1070 
17.167         990 
17.333         720 
17.500         1030 
17.667         1250 
17.833         1320 
18.000         1930 
18.167         3760 
18.333         2020 
18.500         3500 
18.667         2190 
18.833         2620 
19.000         2650 
19.167         2630 
19.333         2610 
19.500         2600 
19.667         2590 
19.833         2580 
20.000         2580 
20.167         2580 
20.333         2570 
20.500         2680 
20.667         2710 
20.833         2710 
21.000         2670 
21.167         2540 
21.333         2470 
21.500         2330 
21.667         2320 
21.833         2550 
22.000         2530 
22.167         2520 
22.333         2340 
22.500         2340 
22.667         2340 
22.833         2340 
23.000         2360 
23.167         2190 
23.333         2520 
23.500         2510 
23.667         2150 
23.833         2160 
