Ceilometer Vaisala CL31. 10 min averages in UNAM
MLH from Gradient method. Espectroscopia y Percepcion Remota, CCA-UNAM
Version: 201801  http://www.atmosfera.unam.mx/espectroscopia/ceilo/
Decimal.hour  MLH(m)
0.000         1480 
0.167         1470 
0.333         1420 
0.500         900 
0.667         1180 
0.833         1260 
1.000         1300 
1.167         1350 
1.333         1470 
1.500         1490 
1.667         830 
1.833         800 
2.000         860 
2.167         1190 
2.333         1200 
2.500         1600 
2.667         1300 
2.833         1360 
3.000         1610 
3.167         1550 
3.333         1480 
3.500         830 
3.667         1320 
3.833         970 
4.000         1430 
4.167         940 
4.333         1470 
4.500         560 
4.667         1670 
4.833         1950 
5.000         880 
5.167         1700 
5.333         1450 
5.500         1030 
5.667         1060 
5.833         1030 
6.000         910 
6.167         700 
6.333         290 
6.500         2250 
6.667         2270 
6.833         2290 
7.000         2170 
7.167         2160 
7.333         2160 
7.500         2140 
7.667         2130 
8.000         2120 
8.167         470 
8.333         470 
8.500         470 
8.667         2340 
8.833         2330 
9.000         2280 
9.167         2230 
9.333         2200 
9.500         2170 
9.667         2330 
9.833         2310 
10.000         2290 
10.167         2020 
10.333         2010 
10.500         2200 
10.667         970 
10.833         1000 
11.000         1200 
11.167         1090 
11.333         1070 
11.500         1440 
11.667         1440 
12.000         1450 
12.167         1190 
12.333         1360 
12.500         1300 
12.667         1230 
12.833         1050 
13.000         1750 
13.167         1790 
13.333         1820 
13.500         1830 
13.667         1830 
13.833         1840 
14.000         1520 
14.167         1910 
14.333         1920 
14.500         1900 
14.667         1520 
14.833         1450 
15.000         1810 
15.167         1410 
15.333         1310 
15.500         1620 
15.667         710 
15.833         1160 
16.000         1240 
16.167         640 
16.333         300 
16.500         1380 
16.667         1330 
16.833         1310 
17.000         1330 
17.167         1790 
17.333         1810 
17.500         1810 
17.667         1800 
17.833         1460 
18.000         1730 
18.167         1730 
18.333         1490 
18.500         1800 
18.667         1820 
18.833         1540 
19.000         1850 
19.167         1880 
19.333         1910 
19.500         1920 
19.667         1660 
19.833         1690 
20.000         1900 
20.167         1720 
20.333         1690 
20.500         1670 
20.667         1660 
20.833         1660 
21.000         1910 
21.167         1910 
21.333         1650 
21.500         1920 
21.667         1950 
21.833         1980 
22.000         2030 
22.167         2100 
22.333         2110 
22.500         2030 
22.667         1840 
22.833         1810 
23.000         1800 
23.167         1790 
23.333         1780 
