Ceilometer Vaisala CL31. 10 min averages in UNAM
MLH from Gradient method. Espectroscopia y Percepcion Remota, CCA-UNAM
Version: 201801  http://www.atmosfera.unam.mx/espectroscopia/ceilo/
Decimal.hour  MLH(m)
0.000         370 
0.167         370 
0.333         380 
0.500         380 
0.667         370 
0.833         360 
1.000         360 
1.167         360 
1.333         360 
1.500         360 
1.667         340 
1.833         350 
2.000         360 
2.167         370 
2.333         370 
2.500         360 
2.667         340 
2.833         360 
3.000         360 
3.167         360 
3.333         2190 
3.500         360 
3.667         360 
3.833         360 
4.000         360 
4.167         360 
4.333         360 
4.500         360 
4.667         360 
4.833         360 
5.000         360 
5.167         360 
5.333         360 
5.500         360 
5.667         360 
5.833         350 
6.000         350 
6.167         360 
6.333         360 
6.500         360 
6.667         360 
6.833         360 
7.000         360 
7.167         360 
7.333         360 
7.500         360 
7.667         360 
7.833         320 
8.000         340 
8.167         340 
8.333         310 
8.500         250 
8.667         240 
8.833         240 
9.000         240 
9.167         260 
9.333         290 
9.500         320 
9.667         350 
9.833         380 
10.000         400 
10.167         410 
10.333         430 
10.500         530 
10.667         560 
10.833         580 
11.000         700 
11.167         720 
11.333         730 
11.500         2210 
11.667         2220 
11.833         730 
12.000         1970 
12.167         1960 
12.333         1960 
12.500         1960 
12.667         1950 
12.833         1950 
13.000         1940 
13.167         2320 
13.333         2330 
13.500         2340 
13.667         2360 
13.833         3210 
14.000         3190 
14.167         2590 
14.333         2600 
14.500         2620 
14.667         2890 
14.833         2880 
15.000         2840 
15.167         3440 
15.333         3410 
15.500         3390 
15.667         3030 
15.833         2460 
16.000         2450 
16.167         2460 
16.333         2460 
16.500         2450 
16.667         2430 
16.833         2430 
17.000         2930 
17.167         2910 
17.333         2310 
17.500         3540 
17.667         3550 
17.833         2440 
18.000         3180 
18.167         3130 
18.333         3110 
18.500         3090 
18.667         2810 
18.833         2810 
19.000         2790 
19.167         730 
19.333         730 
19.500         730 
19.667         730 
19.833         730 
20.000         730 
20.167         730 
20.333         730 
20.500         2560 
20.667         2560 
20.833         370 
21.000         380 
21.167         380 
21.333         730 
21.500         730 
21.667         730 
21.833         730 
22.000         720 
22.167         720 
22.333         720 
22.500         730 
22.667         740 
22.833         740 
23.000         740 
23.167         930 
23.333         930 
23.500         930 
23.667         920 
23.833         910 
